max1,min1,mean1,std1,1st quart1,median1,3rd quart1,max2,min2,mean2,std2,1st quart2,median2,3rd quart2,max3,min3,mean3,std3,1st quart3,median3,3rd quart3,max4,min4,mean4,std4,1st quart4,median4,3rd quart4,max5,min5,mean5,std5,1st quart5,median5,3rd quart5,max6,min6,mean6,std6,1st quart6,median6,3rd quart6,train_test,activities
46.0,19.5,34.546,4.842,31.25,35.25,37.812,12.47,0.0,4.372,2.36,2.49,4.135,5.8,22.67,7.0,15.186,2.758,13.25,15.25,17.0,8.34,0.0,3.029,1.665,1.79,2.86,4.11,22.75,7.0,15.76,2.823,14.0,15.75,17.75,10.0,0.0,3.338,1.657,2.16,3.08,4.335,1.0,6.0
46.25,23.5,34.873,4.532,31.75,35.25,38.25,14.82,0.0,4.381,2.435,2.5,3.925,5.932,24.25,6.67,15.471,2.813,13.5,15.5,17.25,9.9,0.0,3.206,1.519,2.058,3.03,4.19,23.5,5.5,15.874,3.131,13.75,16.0,18.0,9.51,0.0,3.425,1.691,2.17,3.27,4.5,1.0,6.0
44.0,19.25,34.473,4.797,31.25,35.0,38.0,13.86,0.0,4.359,2.389,2.49,3.96,5.9,22.75,6.0,15.425,2.802,13.67,15.5,17.33,9.1,0.0,3.188,1.603,2.05,3.03,4.037,23.25,4.67,15.704,3.156,13.73,16.0,17.75,9.0,0.43,3.34,1.699,2.12,3.09,4.375,1.0,6.0
45.0,12.5,33.51,4.851,30.5,34.125,36.75,13.05,0.0,4.451,2.339,2.74,4.085,5.89,23.75,5.75,15.558,2.912,13.628,15.635,17.5,9.1,0.0,3.351,1.664,2.168,3.11,4.44,25.0,7.25,16.541,3.134,14.628,16.75,18.75,8.96,0.0,3.378,1.787,2.06,3.085,4.44,1.0,6.0
46.75,15.0,34.661,5.315,31.0,35.0,38.25,13.44,0.0,4.201,2.48,2.343,3.9,5.672,25.25,5.0,15.223,3.101,13.25,15.25,17.33,8.58,0.0,3.111,1.689,1.8,2.87,4.09,24.5,7.0,16.251,3.155,14.25,16.33,18.5,8.99,0.0,3.244,1.631,2.12,3.0,4.24,1.0,6.0
46.0,18.0,35.193,4.752,32.0,36.0,38.75,16.2,0.0,4.321,2.626,2.48,3.88,5.87,24.5,5.67,15.462,3.114,13.33,15.67,17.5,8.76,0.0,3.073,1.509,1.912,2.86,4.09,23.5,6.25,16.101,3.208,14.25,16.33,18.5,8.5,0.0,3.242,1.769,1.885,3.015,4.44,1.0,6.0
46.25,20.75,34.763,4.742,31.67,35.29,38.25,12.68,0.0,4.224,2.278,2.49,3.9,5.722,23.75,5.0,15.239,2.921,13.5,15.33,17.25,9.2,0.0,3.207,1.59,2.05,3.0,4.195,25.5,6.0,16.3,3.175,14.25,16.25,18.33,9.39,0.0,3.288,1.648,2.05,3.27,4.305,1.0,6.0
51.0,21.5,34.936,4.646,32.0,35.5,38.062,12.21,0.0,4.116,2.335,2.35,3.845,5.625,23.33,6.5,15.525,2.9,13.33,15.5,17.67,9.09,0.0,3.093,1.503,2.058,2.87,3.84,25.0,6.33,15.997,3.192,14.238,16.25,18.25,10.21,0.0,3.28,1.701,2.12,3.015,4.5,1.0,6.0
47.67,18.33,34.333,4.949,31.25,34.75,38.0,12.48,0.0,4.397,2.569,2.49,3.9,5.745,23.33,7.67,15.563,2.968,13.67,15.5,17.5,9.01,0.0,3.198,1.676,2.05,2.93,4.245,24.0,6.67,15.864,3.0,13.75,16.0,18.0,8.01,0.0,3.262,1.617,2.05,2.98,4.32,1.0,6.0
45.75,18.33,34.6,4.732,31.5,35.125,38.0,15.37,0.0,4.399,2.539,2.55,4.025,5.768,24.0,5.5,15.174,3.037,13.0,15.0,17.372,9.18,0.0,3.145,1.591,2.037,3.015,4.158,23.25,6.5,16.056,2.906,14.0,16.0,18.25,8.86,0.0,3.29,1.68,2.12,3.015,4.26,1.0,6.0
43.67,15.5,34.226,4.442,31.25,34.75,37.25,17.24,0.0,4.354,2.519,2.49,3.9,5.765,23.0,7.67,15.606,2.812,13.75,15.5,17.5,9.2,0.0,3.365,1.731,2.12,3.03,4.44,24.0,5.75,16.148,2.993,14.33,16.25,18.25,9.42,0.0,3.48,1.761,2.24,3.27,4.538,1.0,6.0
